date,machine,os,package,version,type,subtype,action,comments,url
2024-12-24,Beelink,Windows 11,SmartSDR,3.8.20,remote,flex,check_version,,
2024-12-24,Beelink,Windows 11,wfview,1.6.4,remote,icom,check_version,,
2024-12-24,Beelink,Windows 11,RealVNC,7.13.0,remote,vnc,check_version,,
2024-12-24,Beelink,Windows 11,WSJT-X,2.6.1,digital,,check_version,,
2024-12-24,Beelink,Windows 11,GridTracker,1.25.0175,digital,,check_version,,
2024-12-24,Beelink,Windows 11,JS8Call,2.2.0,digital,,check_version,,
2024-12-24,Beelink,Windows 11,Winlink Express,1.7.20.0,digital,winlink,check_version,,
2024-12-24,Beelink,Windows 11,Amateur Contact Log,7.0.10,logging,,check_version,,
2024-12-24,Beelink,Windows 11,SoundModem,1.14,digital,packet,check_version,,
2024-12-24,Beelink,Windows 11,RM Noise,0.21.9.7,accessory,,check_version,,
2024-12-24,Beelink,Windows 11,CwSkimmer,2.1,accessory,cw,check_version,,
2024-12-24,Beelink,Windows 11,Outpost PMM,3.8.0.7,digital,packet,check_version,,
2024-12-24,Beelink,Windows 11,VARA HF,4.8.7,digital,winlink,check_version,,
2024-12-24,Beelink,Windows 11,VARA FM,4.3.8,digital,winlink,check_version,,
2024-12-24,Beelink,Windows 11,VarAC,9.2.3,digital,,check_version,,
2024-12-24,Beelink,Windows 11,direwolf,1.7,digital,aprs,check_version,,
2024-12-24,Beelink,Windows 11,fldigi,4.2.05,digital,,check_version,,
2024-12-24,Beelink,Windows 11,flrig,2.0.05,digital,,check_version,,
2024-12-24,Beelink,Windows 11,flamp,2.2.13,digital,,check_version,,
2024-12-24,Beelink,Windows 11,flmsg,4.0.23,digital,,check_version,,
2024-12-24,Beelink,Windows 11,flarq,4.3.9,digital,,check_version,,
2024-12-24,Beelink,Windows 11,flwrap,1.3.3,digital,,check_version,,
2024-12-24,Beelink,Windows 11,TQSL,,logging,,check_version,,
2024-11-29,macbook-pro,macos-14.4,SmartSDR,2.9.45,remote,,check_version,,
2024-11-29,macbook-pro,macos-14.4,VNC Viewer,6.2.113,remote,vnc,check_version,,
2024-11-29,macbook-pro,macos-14.4,Parallels Desktop,20.1.1,remote,,upgrade,,
2024-12-24,Beelink,Windows 11,Windows 11,11,os,,check_version,,
